index,user_id,item_id,recommend,sentiment_analysis,anio_post
0,76561197970982479,1250,True,2,2011
1,76561197970982479,22200,True,1,2011
2,76561197970982479,43110,True,2,2011
3,js41637,251610,True,2,2014
4,js41637,227300,True,2,2013
5,js41637,239030,True,2,2013
6,evcentric,248820,True,2,2013
7,evcentric,370360,True,2,2015
8,evcentric,237930,True,2,2014
9,evcentric,263360,True,1,2014
10,evcentric,107200,True,2,2014
11,evcentric,224500,True,2,2014
12,doctr,250320,True,2,2013
13,doctr,20920,True,2,2012
14,doctr,204100,True,2,2012
15,doctr,224600,True,2,2014
16,doctr,207610,True,0,2012
17,doctr,108710,True,2,2012
18,maplemage,211420,True,1,2014
19,maplemage,211820,True,2,2013
20,maplemage,730,True,1,2014
21,maplemage,204300,True,2,2013
22,Wackky,249130,True,1,2014
23,Wackky,207610,True,1,2012
24,Wackky,550,True,2,2012
25,Wackky,65800,True,2,2012
26,Wackky,220,True,1,2012
27,76561198079601835,730,True,1,2012
28,MeaTCompany,730,True,1,2012
29,76561198089393905,72850,True,0,2015
30,76561198089393905,440,True,1,2014
31,76561198156664158,252950,True,2,2014
32,76561198077246154,440,True,1,2014
33,76561198077246154,304930,True,1,2014
34,WeiEDKrSat,4000,True,1,2013
35,thequeenpanda,42910,True,1,2012
36,death-hunter,232090,True,2,2015
37,death-hunter,1250,True,2,2015
38,death-hunter,4000,True,2,2014
39,DJKamBer,304930,True,2,2014
40,DJKamBer,570,True,2,2013
41,DJKamBer,218620,True,2,2015
42,DJKamBer,224260,True,2,2013
43,DJKamBer,1250,True,0,2013
44,DJKamBer,440,True,1,2012
45,Rainbow-Dashie,730,True,2,2015
46,Rainbow-Dashie,440,True,2,2014
47,Rainbow-Dashie,49520,True,1,2014
48,76561198043472122,33440,False,1,2014
49,MarbleShrine,220200,True,2,2015
50,PPanther,211820,True,2,2014
51,devvonst,440,True,2,2014
52,devvonst,218740,True,1,2014
53,devvonst,550,True,2,2015
54,Fr0stedLine,220,True,2,2015
55,starkillershadow553,238090,True,0,2015
56,starkillershadow553,242130,True,0,2015
57,starkillershadow553,277430,True,2,2014
58,76561198058373434,8870,True,2,2015
59,76561198048353577,368230,True,0,2015
60,76561198048353577,4000,True,1,2015
61,76561198048353577,33930,True,2,2013
62,76561198066046412,359320,False,0,2015
63,76561198066046412,219640,True,2,2015
64,tru_mu_,287980,True,2,2015
65,76561198070565427,218620,True,1,2015
66,76561198070565427,208090,True,1,2015
67,76561198070565427,242700,True,1,2014
68,76561198070565427,570,False,1,2014
69,76561198070565427,224260,True,1,2014
70,SavageEeEe,221100,True,2,2015
71,76561198076909484,570,True,1,2014
72,KanadeTheNeko,331470,True,2,2014
73,KanadeTheNeko,4000,True,2,2014
74,Leaf_Light_Moscow,323370,True,2,2014
75,GoAwayZach,304930,True,2,2014
76,76561198054540475,12210,True,0,2015
77,76561198054540475,265210,True,1,2014
78,76561198054540475,48700,True,2,2014
79,76561198085547365,238460,True,2,2014
80,76561198085547365,34900,True,2,2014
81,76561198061252210,730,True,2,2015
82,OfficialShroomsy,113200,True,2,2013
83,boydeer,440,True,1,2014
84,boydeer,383080,False,1,2015
85,VVillis,213670,True,1,2015
86,76561198083226897,105600,True,1,2015
87,76561198075277292,730,True,0,2015
88,76561198075277292,570,True,2,2015
89,76561198028895010,231180,True,2,2013
90,76561198028895010,620,True,2,2012
91,76561198170198366,271290,True,2,2012
92,diego9031,4000,True,1,2012
93,diego9031,317360,True,1,2012
94,diego9031,223710,True,1,2015
95,diego9031,299360,True,1,2015
96,diego9031,322330,True,1,2015
97,diego9031,1250,True,1,2015
98,diego9031,12100,True,1,2015
99,diego9031,204360,True,2,2015
100,diego9031,440,True,1,2013
101,diego9031,224260,True,2,2013
102,jarrodtrim,440,True,2,2012
103,76561198078738103,304930,True,2,2012
104,76561198067936203,440,True,2,2015
105,76561198079770573,1840,True,1,2015
106,76561198087586464,440,True,2,2013
107,Derp-e,440,True,2,2015
108,76561198070194565,233250,True,1,2014
109,76561198070194565,449140,True,1,2014
110,76561198070194565,368730,True,1,2014
111,76561198070194565,246280,True,1,2014
112,76561198070194565,427270,True,2,2014
113,76561198070194565,397100,True,1,2014
114,76561198070194565,248570,True,1,2015
115,Rivtex,298630,True,1,2015
116,UTNerd24,244210,True,2,2014
117,UTNerd24,440,True,1,2015
118,UTNerd24,376920,True,2,2015
119,UTNerd24,257750,True,2,2015
120,UTNerd24,221910,True,1,2014
121,UTNerd24,2280,True,0,2013
122,sandwiches1,417860,False,1,2015
123,76561198138053270,218620,True,2,2014
124,lucaswerg,218620,True,2,2014
125,lucaswerg,222880,True,1,2014
126,Life-Of-Blu,377160,True,2,2015
127,Life-Of-Blu,211820,True,2,2013
128,CaptianAutismo,252490,True,1,2015
129,76561198075895633,440,True,2,2014
130,TheDropix101,242920,True,2,2014
131,kube134,251990,True,2,2014
132,iamthekingofbrowntown,344760,False,0,2015
133,iamthekingofbrowntown,252950,True,1,2015
134,iamthekingofbrowntown,236430,True,2,2015
135,iamthekingofbrowntown,399730,True,2,2015
136,MainScout,550,True,1,2015
138,yookobz,377160,True,2,2015
139,yookobz,219150,True,2,2013
140,Posiblydead,277430,True,2,2014
141,Posiblydead,239820,True,2,2014
142,Posiblydead,17410,True,2,2012
143,Mossy_Gaming,440,True,2,2015
144,76561198102421718,270550,True,2,2015
145,76561198102421718,274940,True,2,2015
146,76561198102421718,333930,True,0,2015
147,76561198087407319,440,True,1,2014
148,76561198056741844,730,True,1,2014
149,sad-commie,294100,True,0,2014
150,sad-commie,212070,True,0,2014
151,sad-commie,264140,True,1,2014
152,76561198030567998,332800,True,1,2014
153,76561198030567998,319630,True,2,2015
