user_id,item_id,playtime_forever
76561197970982479,10,6
js41637,20,0
evcentric,30,7
Riot-Punch,40,0
doctr,50,0
MinxIsBetterThanPotatoes,60,0
NitemarePK,70,0
themanwich,130,0
maplemage,300,4733
Wackky,240,1853
corrupted_soul,3830,333
76561198079601835,2630,75
jorellpogi,3900,338
cadmusthreepointoh,34440,0
76561198064823719,3920,2
MeaTCompany,6400,286
76561198089393905,6910,2685
76561198156664158,7670,633
76561198077246154,409710,0
76561198070234207,220,696
WeiEDKrSat,320,0
thequeenpanda,340,37
death-hunter,360,0
turneddreamsintoanempire,380,168
DJKamBer,400,173
76561198030389591,420,323
Rainbow-Dashie,9340,692
btuty8trgt,228200,0
76561198043472122,11450,0
MarbleShrine,7940,1185
fdcfelipefdc,4700,477
hellom8o,12900,115
bbaekhyun,13250,0
Moomfina,16100,0
PPanther,15700,28
ABSOLUTLY_NOTHING,15710,0
devvonst,17330,31
Fr0stedLine,17340,0
starkillershadow553,22000,195
76561198058373434,500,513
76561198048353577,4560,1061
76561198072190369,17460,1613
76561198066046412,10500,186
tru_mu_,24740,0
wirlom,22200,271
76561198070565427,26800,445
SavageEeEe,1250,10006
76561198076909484,35420,0
76561198066908262,3590,4413
KanadeTheNeko,8880,0
Leaf_Light_Moscow,8890,0
erickoiv,23120,53
GoAwayZach,35700,199
76561198054540475,10140,25
darkenkane,35010,570
76561198100701221,35140,0
76561198085547365,29180,940
76561198061252210,15520,110
OfficialShroomsy,32370,5
76561198056147391,37700,782
8Bit-Ninja,6020,77
76561198071500702,24860,437
76561198099905030,39530,503
76561198047407223,550,1474
latiano,223530,0
kongtape,8980,3061
boydeer,41500,536
76561198100297613,20900,139
VVillis,10180,1886
Bubblecup,10190,1784
76561198083226897,17450,4431
76561198082525427,3170,1021
76561198075277292,25900,1389
76561198094630961,31410,95
12549,24980,5001
76561198028895010,8850,1504
76561198092411867,409720,0
76561198170198366,46000,11
diego9031,33230,1636
iampiepiepie,20820,46
76561198079863506,47700,85
jarrodtrim,24960,5716
76561198078738103,43110,834
76561198068964564,8190,3083
76561198067936203,49600,127
76561198079770573,31220,71
UpTheAss,31230,0
76561198048504366,31240,0
76561197977385164,31250,0
76561198075491015,31260,0
76561198087586464,21090,585
76561198086878953,21110,146
Derp-e,21120,0
76561198070194565,49400,32
Rivtex,33910,3
firefreddy,33930,3
UTNerd24,219540,0
sandwiches1,17410,0
76561198093083895,205790,0
76561198138053270,50130,707
76561198062422084,62100,50
steamurl,31280,206
lucaswerg,57300,12
Life-Of-Blu,21970,64
CaptianAutismo,8930,10345
maxgp,41000,369
AppaTheSwagBison,41050,76
knightboy991,41060,0
76561198034678103,227780,0
76561198075895633,18040,594
TheDropix101,22380,43
kube134,42700,966
iamthekingofbrowntown,42710,2452
MainScout,62000,25
gdxsd,40800,119
yookobz,9500,6
Posiblydead,18700,0
Mossy_Gaming,31270,0
76561198093817084,58200,0
76561198102421718,70400,537
76561198079045885,41300,50
76561198087407319,41800,149
76561198074466513,42500,0
damo131,49900,23
19702316748,55000,0
FrystHjarte,34330,1538
76561198056741844,63200,573
sad-commie,99810,2
Sillybaby,620,887
76561198030567998,42910,588
76561198010674657,15500,0
Coldaniel,15540,4
therealmorty,18500,126
itslonk,26500,0
DeDroidUreLookin4,35460,0
Berserklejerker,38700,0
76561198088799241,38720,0
76561198061730629,63700,0
YoHuNz,280,0
possessioniskey,20920,1343
76561198072732874,105600,772
76561198093112529,98200,9
sevqu,4500,0
76561198060447950,4540,3
whiteofwolfing,4550,76
76561198056857968,9480,0
sergarino,15620,2085
