genres,title,item_id,anio_lanzamiento
"casual, free to play, indie, simulation, sports",Real Pool 3D - Poolians,670290,2017
"action,adventure,casual",弹炸人2222,767400,2017
"racing,simulation,sports",RC Plane 3 - Canyon Scenario,775880,2017
"racing,simulation,sports",RC Plane 3 - F-53B,775881,2017
"action,indie,rpg",Fallen Mage,752360,2016
"adventure,casual,indie",Christmas Santa Troubles,773120,2017
strategy,Disciples II: Gallean's Return,1640,2006
strategy,Disciples II: Rise of the Elves,1630,2006
"action,indie,rpg",The Ship: Murder Party,2400,2006
"indie,massively multiplayer,rpg,early access",Life of Rome,381620,2017
"action,indie,strategy,early access",Souland,759920,2017
"action,adventure,indie,rpg",TAROTICA VOO DOO,603280,2017
"casual,strategy,early access",Chronicles of Vinland,753110,2017
"action,indie",Orbitality,753100,2017
"action,adventure,casual",Atomic Adam: Episode 1,764280,2017
"adventure,casual,free to play,indie",Mirt. Tales of the Cold Land. Chapter 2,758550,2017
action,Advent Rising,3800,2005
"indie,strategy",DEFCON,1520,2006
"action,indie,rpg",The Ship: Single Player,2420,2006
"indie,simulation",Garry's Mod,4000,2006
racing,RACE - The WTCC Game,4230,2006
"casual,indie",Zen of Sudoku,4900,2006
"casual,indie",Gumboy - Crazy Adventures™,2520,2006
strategy,Vegas: Make It Big™,6210,2006
"adventure,rpg",Dreamfall: The Longest Journey,6300,2006
racing,FlatOut 2™,2990,2006
racing,FlatOut,6220,2005
"action,adventure",Lost Planet™: Extreme Condition,6510,2007
strategy,CivCity: Rome,3980,2006
strategy,Civilization IV®: Warlords,3990,2006
strategy,Sid Meier's Railroads!,7600,2006
"casual,indie",RIP - Trilogy™,2540,2007
"action,adventure",Tomb Raider: Anniversary,8000,2007
action,Devil May Cry® 3 Special Edition,6550,2006
"action,adventure",Sam &amp; Max 101: Culture Shock,8200,2006
"indie,rpg",Vigil: Blood Bitterness™,2570,2007
"action,adventure",Sam &amp; Max 102: Situation: Comedy,8210,2006
action,QUAKE Mission Pack 2: Dissolution of Eternity,9030,2007
action,QUAKE,2310,2007
strategy,Genesis Rising,3230,2007
strategy,"Warhammer® 40,000: Dawn of War® – Winter Assault",9310,2006
"action,rpg",BioShock™,7670,2007
strategy,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",4570,2006
strategy,"Warhammer® 40,000: Dawn of War® - Dark Crusade",4580,2006
strategy,Rome: Total War™ - Alexander,4770,2006
casual,Mystery Case Files: Madame Fate®,50970,2007
"action,adventure",Tomb Raider: Legend,7000,2006
strategy,Command &amp; Conquer: Red Alert 3,17480,2008
casual,PuzzleQuest: Challenge of the Warlords,12500,2007
"rpg,casual,adventure",Culpa Innata,12310,2007
strategy,Prison Tycoon 3™: Lockdown,12510,2007
"action,adventure,strategy",Hunting Unlimited™ 2008,12530,2007
racing,18 Wheels of Steel: American Long Haul,12520,2007
action,Conflict: Denied Ops,8100,2008
action,ARMA: Combat Operations,2780,2007
simulation,Tycoon City: New York,9730,2006
action,Desperados 2: Cooper's Revenge,9710,2006
"action,adventure",Death to Spies,9800,2007
action,Act of War: High Treason,9760,2006
"simulation,strategy",RollerCoaster Tycoon® 3: Platinum,2700,2006
action,Act of War: Direct Action,2710,2005
"casual,indie",Ninja Reflex: Steamworks Edition,13000,2008
action,Tom Clancy's Rainbow Six® Vegas,13540,2006
simulation,Silent Hunter® III,15210,2005
"casual,simulation",Virtual Villagers - The Secret City,16180,2008
casual,Mystery P.I.™ - The Vegas Heist,3520,2008
casual,Luxor,15970,2008
casual,Reaxxion,15950,2008
casual,Little Farm,15960,2008
casual,7 Wonders II,15900,2008
casual,Luxor Amun Rising,15910,2005
casual,Luxor 3,15930,2007
simulation,Petz® Horsez® 2,15160,2007
casual,Luxor 2,15920,2005
"action,adventure",Rayman Raving Rabbids™,15080,2007
simulation,Silent Hunter®: Wolves of the Pacific,15200,2007
simulation,IL-2 Sturmovik: 1946,15320,2006
simulation,Silent Hunter®: Wolves of the Pacific U-Boat Missions,15240,2008
adventure,Bone: Out From Boneville,8310,2005
racing,Midnight Outlaw: 6 Hours to SunUp,12600,2005
adventure,Bone: The Great Cow Race,8320,2006
racing,Sprint Cars Road to Knoxville,12590,2008
simulation,Ride! Carnival Tycoon,12560,2007
casual,Mahjongg Investigations: Under Suspicion,12540,2007
adventure,Dracula Origin,11050,2008
sports,Beijing 2008™ - The Official Video Game of the Olympic Games,10520,2008
"adventure,rpg",Sherlock Holmes - Nemesis,11040,2008
"adventure,indie",Eternity's Child,19500,2008
"simulation,strategy",Pacific Storm Allies,11260,2007
"action,indie",Tank Universal,19200,2008
racing,FlatOut: Ultimate Carnage,12360,2008
racing,GTR Evolution Expansion Pack for RACE 07,8660,2008
"action,rpg",S.T.A.L.K.E.R.: Clear Sky,20510,2008
action,Crysis Warhead®,17330,2008
action,Crysis,17300,2007
"action,rpg",The Witcher: Enhanced Edition Director's Cut,20900,2008
indie,Multiwinia,1530,2008
racing,STCC - The Game 1 - Expansion Pack for RACE 07,8690,2008
"strategy,simulation",Children of the Nile: Alexandria,17120,2008
strategy,Sid Meier's Civilization IV: Colonization,16810,2008
"action,adventure",LEGO Batman,21000,2008
"simulation,strategy",City Life 2008,4460,2008
"rpg,strategy",Hinterland,17140,2008
action,Brothers in Arms: Hell's Highway™,15390,2008
"indie,casual",Gravitron 2,21300,2008
racing,Xpand Rally Xtreme,3050,2006
strategy,Heroes of Might &amp; Magic V: Hammers of Fate,15380,2006
action,Brothers in Arms: Earned in Blood™,19800,2005
strategy,Heroes of Might &amp; Magic V: Tribes of the East,15370,2007
strategy,The Settlers®: Rise Of An Empire Gold Edition,19930,2008
casual,Brain Spa,15350,2007
casual,Peggle™ Nights,3540,2008
indie,World of Goo,22000,2008
"action,simulation,strategy",X3: Terran Conflict,2820,2008
action,Mare Nostrum,1230,2008
"casual,indie",Spectraball,18300,2008
"indie,casual,sports",Galactic Bowling,20200,2008
"action,adventure",Bully: Scholarship Edition,12200,2008
action,Far Cry® 2: Fortune's Edition,19900,2008
"action,indie,strategy",Space Trader: Merchant Marine,11240,2008
simulation,PRR Wagon Pack 01,256522,2009
simulation,"Class 421 London South East ""Jaffa Cake""",275144,2009
simulation,ATSF Wagon Pack 01,256521,2009
simulation,GP20 Union Pacific Add-on Livery,222569,2009
simulation,UK Van Wagon Pack,256535,2009
simulation,CSX SD70MAC Add-on Livery,256611,2009
simulation,CSX ES44AC Add-on Livery,256576,2009
action,Saints Row 2,9480,2009
action,Dead Space,17470,2008
rpg,Rise of the Argonauts,12770,2008
"action,adventure",Mirror's Edge™,17410,2009
"indie,strategy",Defense Grid: The Awakening,18500,2008
action,F.E.A.R. 2: Project Origin,16450,2009
"strategy,indie",Harvest: Massive Encounter,15400,2008
"indie,strategy",Mayhem Intergalactic,18600,2007
"action,indie",Larva Mortus,11340,2009
strategy,Knights of Honor,25830,2005
"action,adventure,strategy",Ceville,23460,2009
strategy,Empire: Total War™ - Special Forces Units &amp; Bonus Content,10600,2009
action,Watchmen: The End is Nigh,21010,2009
"action,adventure,indie",Penumbra Overture,22180,2007
action,Unreal Tournament 3 Black,13210,2007
rpg,Drakensang,12640,2009
"casual,strategy",Age of Booty™,21600,2009
"indie,simulation",The Graveyard,27020,2008
racing,Burnout Paradise: The Ultimate Box,24740,2009
action,Zombie Master,90047,2009
"action,indie",The Maw,26000,2009
"action,indie",The Maw: River Redirect,26006,2009
"action,indie",The Maw: Brute Force,26005,2009
"casual,indie",Obulis,11330,2009
indie,Space Giraffe,27800,2009
"simulation,strategy",Codename: Panzers - Cold War,9850,2009
casual,Escape Rosecliff Island,3600,2009
