,genres,title,tags,specs,price,early_access,item_id,developer,anio_lanzamiento
5763,indie,Magma Tsunami,"indie,platformer","single-player,multi-player,co-op,shared/split screen,steam trading cards,partial controller support",0.99,False,477290,StrangeLight Games,2016
18486,"action,indie",Starship Annihilator,"indie,action,shoot em up","single-player,steam achievements,steam trading cards,partial controller support",0.99,False,525300,IR Studio,2016
7134,"casual,free to play,indie,simulation,sports,strategy",Pixel Puzzles Ultimate - Puzzle Pack: Wales,"indie,casual,simulation,sports,strategy,free to play","single-player,downloadable content,steam achievements,full controller support,steam trading cards,steam cloud,stats,steam leaderboards",2.99,False,553071,DL Softworks,2016
5973,"action,indie",Alchemist Penguin,"action,indie","single-player,steam achievements,steam cloud",1.99,False,491390,"Foot in the Box, LLC",2015
14514,"indie,racing,sports",Horse Racing 2016,"sports,racing,indie,horses","single-player,multi-player,shared/split screen,steam achievements,partial controller support",9.99,False,655610,Yash Future Tech Solutions Pvt Ltd,2016
7900,"action,adventure,indie,rpg",Unexplored,"indie,rpg,action,adventure,rogue-lite,procedural generation,rogue-like,perma death,dungeon crawler,replay value,great soundtrack,action rpg,2d","single-player,steam achievements,steam trading cards,partial controller support",9.99,False,506870,Ludomotion,2017
18475,"indie,rpg,strategy",Fantasy Grounds - New Gods of Mankind - Anointed: Token Pack - Beasts of Naalrinnon Pack,"strategy,rpg,indie","multi-player,co-op,cross-platform multiplayer,downloadable content",5.99,False,525730,"SmiteWorks USA, LLC",2016
675,action,Batman Arkham City: Robin Bundle,"action,batman","single-player,downloadable content",,False,200870,Rocksteady Studios,2011
25320,adventure,Black Mirror III,"adventure,point & click,horror,puzzle,mystery,third person,atmospheric,singleplayer,story rich","single-player,steam cloud",9.99,False,286480,Cranberry Production,2011
26330,"design &amp,illustration,web publishing",RPG Maker VX Ace - Samurai Resource Pack,"design & illustration,web publishing,rpgmaker",downloadable content,19.99,False,229753,KADOKAWA,2013
1157,"rpg,web publishing",RPG Maker VX Ace - High Fantasy 2 Resource Pack,"rpg,web publishing,rpgmaker,fantasy,design & illustration",downloadable content,29.99,False,229751,PV Games,2013
11965,"adventure,indie,rpg,strategy",Haunted Dream House,"strategy,adventure,rpg,indie",single-player,4.99,False,747130,Must Imagine Entertainment,2017
16499,"action,adventure,indie,rpg",Outbreak - Treasure Hunter Flashlight and Laser,"action,adventure,rpg,indie,gore,violent","single-player,multi-player,online multi-player,co-op,online co-op,downloadable content,steam achievements,full controller support,steam trading cards,stats",0.99,False,590162,Dead Drop Studios LLC,2017
16771,"action,indie",Pleasure in Dream,"action,indie","single-player,full controller support",5.99,False,575080,Upineleed,2017
4208,casual,Hidden Object Bundle 4 in 1,"casual,hidden object,point & click","single-player,steam trading cards",7.99,False,347610,Alawar Entertainment,2014
27829,indie,Six Days of Snow - OST,indie,"single-player,downloadable content",0.99,False,754820,ebi-hime,2017
15450,"adventure,casual",Queen's Quest 3: The End of Dawn,"casual,adventure,hidden object,puzzle,female protagonist,fantasy,singleplayer,point & click,story rich,indie,great soundtrack,atmospheric,mystery,family friendly,horror,2d","single-player,steam achievements,steam trading cards,steam cloud",9.99,False,589690,Brave Giant LTD,2017
11109,casual,OldMaidGirl - Bikini,casual,"single-player,downloadable content,full controller support",1.99,False,768690,Vrai,2017
16162,rpg,Einlanzer Soundtrack,rpg,"single-player,downloadable content,full controller support",4.99,False,573190,Andrew Ryan Henke,2017
13367,"action,adventure,free to play,indie,strategy",Idle Champions of the Forgotten Realms - Celeste's Starter Pack,"strategy,action,adventure,indie,free to play","single-player,downloadable content,steam achievements,in-app purchases",19.99,False,714860,Codename Entertainment Inc.,2017
19447,"action,indie",Dark Days,"action,indie,zombies",single-player,2.99,False,422020,Brutal Studio,2016
22548,"casual,simulation",Rocksmith® 2014 – Player Picks Song Pack,"casual,simulation","single-player,shared/split screen,downloadable content,steam achievements,steam trading cards,partial controller support,steam cloud,steam leaderboards",9.99,False,369762,Ubisoft - San Francisco,2015
18982,"adventure,indie",Occurrence at JCR Outpost,"adventure,indie","single-player,steam achievements,full controller support",4.99,False,468080,Brandon Brizzi,2016
7711,"adventure,indie",Donation - Level 2,"adventure,indie","single-player,downloadable content",1.99,False,587881,Olivier LeClair,2017
22021,"action,indie",Arclight Cascade,"action,indie,4 player local,local multiplayer,singleplayer,great soundtrack,multiplayer","single-player,multi-player,shared/split screen,steam achievements,full controller support,steam trading cards,stats,steam leaderboards",Free to Play,False,391210,Hexdragonal Games,2015
19716,"casual,simulation",Rocksmith® 2014 – Queensrÿche - “I Don’t Believe in Love”,"casual,simulation","single-player,shared/split screen,downloadable content,steam achievements,steam trading cards,partial controller support,steam cloud,steam leaderboards",2.99,False,436625,Ubisoft - San Francisco,2016
7793,"adventure,casual,indie",BOOR,"indie,casual,adventure,puzzle-platformer,2d,robots,puzzle,platformer,singleplayer,female protagonist","single-player,steam achievements,full controller support,steam trading cards",4.99,False,450170,DazlogStudio,2017
14555,"action,adventure,indie,simulation",Ariel OST,"action,adventure,indie,simulation","single-player,downloadable content",4.99,False,653790,Nuclear Fiction,2017
25735,"action,indie",Velocity®Ultra,"action,indie,shoot em up,2d,female protagonist","single-player,steam achievements,full controller support,steam trading cards,steam cloud,steam leaderboards",9.99,False,244890,"Curve Digital,FuturLab",2013
10027,"casual,indie",Mr Rabbit's Jigsaw Puzzle,"indie,casual","single-player,stats",1.99,False,685040,Alakhaine Specialist Consulting Limited,2017
1076,"action,adventure,casual,free to play,massively multiplayer,rpg,simulation",Mabinogi,"anime,free to play,massively multiplayer,rpg,mmorpg,action,casual,simulation,adventure,open world,fantasy,multiplayer,sandbox,action rpg,nudity,great soundtrack","single-player,multi-player,mmo,co-op,steam trading cards",Free to Play,False,212200,NEXON Korea Corp.,2012
7606,"action,indie",My Pet Rock,"action,indie,tower defense","single-player,steam achievements,steam trading cards",2.99,False,557830,Carl Games,2017
